"ID","Address","Name","Size","Organization","Description","Units","X Address","Y Address","X Units","Y Units","Scale","X Scale","Y Scale","Value min","Value max","Value min*1","Value max*1","4Z7907551R.kp","8D0907551F.kp","8D0907551G.kp"
"TDATSO","0x1c51e","Upper boundary of EGT model for diagnosing EGT sensor","1x1","16 Bit (LoHi)","-","Grad C","-","-","-","-","0.019531","1.0","1.0","499.99296000000004","499.99296000000004","0x6e00","0x6e00","-","Obergrenze Abgastemperaturmodell für Diagnose Abgastemperatursensor","Obergrenze Abgastemperaturmodell für Diagnose Abgastemperatursensor","Obergrenze Abgastemperaturmodell für Diagnose Abgastemperatursensor"
"FHOKH","0x1c682","Minimum altitude factor for cat heating","1x1","16 Bit (LoHi)","-","-","-","-","-","-","1.22E-4","1.0","1.0","1.499136","1.499136","0x3000","0x3000","leave alone or 0  to disable cat heating","minimaler Höhenfaktor für Katheizen","minimaler Höhenfaktor für Katheizen","minimaler Höhenfaktor für Katheizen"
"KFNFSKHM (AR 1F3E4)","0x1c6dc","Desired idle engine speed while cat heating with drive engaged","4x8","8 Bit","-","U/min","0x1c6d4","0x1c6cc","-","Grad C","10.0","3.05E-5","0.75","700.0","1000.0","0x46","0x64","-","Leerlaufsolldrehzahl bei Katheizen mit eingelegter Fahrstufe","","Leerlaufsolldrehzahl bei Katheizen mit eingelegter Fahrstufe"
"TTEGA (AR 1ED00)","0x1c732","Tank ventilation time for basic adaption","1x1","16 Bit (LoHi)","-","s","-","-","-","-","0.1","1.0","1.0","60.0","60.0","0x258","0x258","-","Zeit bei der Tankentlüftung für Grundadaption","Zeit bei der Tankentlüftung für Grundadaption","Zeit bei der Tankentlüftung für Grundadaption"
"KFDYES (AR 1F8AC)","0x1cb3e","Dynamic load detection threshold","6x16","16 Bit (LoHi)","-","%/seg","0x18299","0x18278","%","Upm","0.023438","0.75","40.0","2.203172","19.992614","0x5e","0x355","-","Lastdynamikerkennungsschwelle","Lastdynamikerkennungsschwelle","Lastdynamikerkennungsschwelle"
"CWFA195A","0x1ce1c","Supplemental codeword: short strip requirements display group 195","1x1","16 Bit (LoHi)","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","32768.0","32768.0","0x8000","0x8000","-","Ergänzung Codewort Kurztripanforderungen Anzeigegruppe 195","Ergänzung Codewort Kurztripanforderungen Anzeigegruppe 195","Ergänzung Codewort Kurztripanforderungen Anzeigegruppe 195"
"KFLDIMX (AR 27970)","0x1d65c","Map: LDR I-Regulator limit","8x16","16 Bit (LoHi)","-","%","0x12b26","0x12ae2","hPa","U/min","0.005","0.039063","0.25","0.0","95.0","0x0","0x4a38","-","Kennfeld LDR I-Reglerbegrenzung","Kennfeld LDR I-Reglerbegrenzung","Kennfeld LDR I-Reglerbegrenzung"
"KFLDRL (AR 27AC2)","0x1d7ae","Map for linearization of boost pressure = f (TV)","10x16","16 Bit (LoHi)","-","%","0x1d9bc","0x12ae2","%","U/min","0.005","0.005","0.25","0.0","95.0","0x0","0x4a38","-","KF zur Linearisierung Ladedruck=f(TV)","KF zur Linearisierung Ladedruck=f(TV)","KF zur Linearisierung Ladedruck=f(TV)"
"KFLDRQ2 (AR 27C02)","0x1d8ee","LDR-control parameter Q2","4x8","16 Bit (LoHi)","-","%/100hPa","0x10070","0x10085","hPa","Upm","0.05","10.0","40.0","0.0","25.0","0x0","0x1f4","-","Kennfeld LDR-Reglerparameter Q2","Kennfeld LDR-Reglerparameter Q2","Kennfeld LDR-Reglerparameter Q2"
"KFLDRQ2 (AR 27C02)","0x1d8ee","LDR-control parameter Q2","4x8","16 Bit (LoHi)","-","%/100hPa","0x10070","0x10085","hPa","Upm","0.025","10.0","40.0","0.0","12.5","0x0","0x1f4","1/2 axis
2x value","Kennfeld LDR-Reglerparameter Q2","Kennfeld LDR-Reglerparameter Q2","Kennfeld LDR-Reglerparameter Q2"
"LDRQ0DY (AR 27DDC)","0x1d958","LDR-control parameter Q0","16x1","16 Bit (LoHi)","-","%/100hPa","0x100b1","-","Upm","-","0.05","40.0","1.0","5.0","30.0","0x64","0x258","-","LDR-Reglerparameter Q0","LDR-Reglerparameter Q0","LDR-Reglerparameter Q0"
"LDRQ0DY (AR 27DDC)","0x1d958","LDR-control parameter Q0","16x1","16 Bit (LoHi)","-","%/100hPa","0x100b1","-","Upm","-","0.025","40.0","1.0","2.5","15.0","0x64","0x258","2x value","LDR-Reglerparameter Q0","LDR-Reglerparameter Q0","LDR-Reglerparameter Q0"
"LDRQ0S (AR 27DFC)","0x1d978","LDR-control parameter Q0 in stationary operation","1x1","16 Bit (LoHi)","-","%/100hPa","-","-","-","-","0.05","1.0","1.0","2.0","2.0","0x28","0x28","-","Reglerparameter Q0 LDR-PID Regler im Stationärbetrieb","Reglerparameter Q0 LDR-PID Regler im Stationärbetrieb","Reglerparameter Q0 LDR-PID Regler im Stationärbetrieb"
"LDRQ0S (AR 27DFC)","0x1d978","LDR-control parameter Q0 in stationary operation","1x1","16 Bit (LoHi)","-","%/100hPa","-","-","-","-","0.025","1.0","1.0","1.0","1.0","0x28","0x28","2x value","Reglerparameter Q0 LDR-PID Regler im Stationärbetrieb","Reglerparameter Q0 LDR-PID Regler im Stationärbetrieb","Reglerparameter Q0 LDR-PID Regler im Stationärbetrieb"
"LDRQ1DY","0x1d97a","LDR-control parameter Q1 in dynamic operation (integration coefficient)","16x1","16 Bit (LoHi)","-","%/100hPa","0x100b1","-","Upm","-","0.05","40.0","1.0","20.0","20.0","0x190","0x190","-","Reglerparameter Q1 PID-Regler im Dynamikbetrieb (Integrationsbeiwert)","Reglerparameter Q1 PID-Regler im Dynamikbetrieb (Integrationsbeiwert)","Reglerparameter Q1 PID-Regler im Dynamikbetrieb (Integrationsbeiwert)"
"LDRQ1DY","0x1d97a","LDR-control parameter Q1 in dynamic operation (integration coefficient)","16x1","16 Bit (LoHi)","-","%/100hPa","0x100b1","-","Upm","-","0.025","40.0","1.0","10.0","10.0","0x190","0x190","2x value","Reglerparameter Q1 PID-Regler im Dynamikbetrieb (Integrationsbeiwert)","Reglerparameter Q1 PID-Regler im Dynamikbetrieb (Integrationsbeiwert)","Reglerparameter Q1 PID-Regler im Dynamikbetrieb (Integrationsbeiwert)"
"LDRQ1ST","0x1d99a","LDR-control parameter Q1 in stationary operation (integration coefficient)","16x1","16 Bit (LoHi)","-","%/100hPa","0x100b1","-","Upm","-","0.05","40.0","1.0","0.30000000000000004","0.5","0x6","0xa","-","Reglerparameter Q1 PID-Regler im Stationärbetrieb (Integrationsbeiwert)","Reglerparameter Q1 PID-Regler im Stationärbetrieb (Integrationsbeiwert)","Reglerparameter Q1 PID-Regler im Stationärbetrieb (Integrationsbeiwert)"
"LDRQ1ST","0x1d99a","LDR-control parameter Q1 in stationary operation (integration coefficient)","16x1","16 Bit (LoHi)","-","%/100hPa","0x100b1","-","Upm","-","0.025","40.0","1.0","0.15000000000000002","0.25","0x6","0xa","2x value","Reglerparameter Q1 PID-Regler im Stationärbetrieb (Integrationsbeiwert)","Reglerparameter Q1 PID-Regler im Stationärbetrieb (Integrationsbeiwert)","Reglerparameter Q1 PID-Regler im Stationärbetrieb (Integrationsbeiwert)"
"TVLDMX (AR 27E54)","0x1d9d0","Upper duty cycle limit for LDR","1x1","16 Bit (LoHi)","-","%","-","-","-","-","0.005","1.0","1.0","95.0","95.0","0x4a38","0x4a38","-","Obere Tastverhältnisbegrenzung für LDR","Obere Tastverhältnisbegrenzung für LDR","Obere Tastverhältnisbegrenzung für LDR"
"KFFLDEO (AR 28026)","0x1d9d2","Factor for boost pressure intervention through KR","8x8","16 Bit (LoHi)","-","-","0x12b80","0x12ab6","Grad KW","U/min","1.5E-5","0.1875","0.25","0.983025","0.983025","0xffff","0xffff","-","Faktor für Ladedruckeingriff auf Overboostwert durch KR","Faktor für Ladedruckeingriff auf Overboostwert durch KR","Faktor für Ladedruckeingriff auf Overboostwert durch KR"
"KFFLLDE (RS4 1E0F2, AR 280A6)","0x1da52","Factor for slow LDR intervention on rlmax via KR","8x8","16 Bit (LoHi)","-","-","0x12b5c","0x15fd8","Grad KW","U/min","3.1E-5","0.1875","0.25","0.666686","1.015808","0x5402","0x8000","-","Faktor für langsamen Ladedruckeingriff auf rlmax durch KR","Faktor für langsamen Ladedruckeingriff auf rlmax durch KR","Faktor für langsamen Ladedruckeingriff auf rlmax durch KR"
"KFFSLDE (AR 28126)","0x1dad2","Factor for rapid LDR intervention (reduction)","8x8","16 Bit (LoHi)","-","-","0x12b6e","0x15fd8","Grad KW","U/min","3.1E-5","0.1875","0.25","0.865055","1.015808","0x6d01","0x8000","-","Faktor für schnellen LDR-Eingriff(Absenkung)","Faktor für schnellen LDR-Eingriff(Absenkung)","Faktor für schnellen LDR-Eingriff(Absenkung)"
"KFFWLLDE (AR 281A6)","0x1db52","Weighting factor for slow boost pressure intervention on rlmax via KR","8x8","16 Bit (LoHi)","-","-","0x12b5c","0x1010c","Grad KW","Grad C","3.1E-5","0.1875","0.75","1.015808","1.015808","0x8000","0x8000","-","Wichtungsfaktor für langsamen Ladedruckeingriff auf rlmax durch KR","","Wichtungsfaktor für langsamen Ladedruckeingriff auf rlmax durch KR"
"KFTARX (AR 28278)","0x1dbd2","Maximum specified load IAT correction factor map","8x8","16 Bit (LoHi)","-","-","0x1010c","0x15fd8","Grad C","U/min","3.1E-5","0.75","0.25","0.853306","1.317407","0x6b86","0xa601","-","Kennfeld Maximalfuellung Tans Korrekturfaktor","","Kennfeld Maximalfuellung Tans Korrekturfaktor"
"KFTARXZK (AR 28368)","0x1dc52","Maximum specified load IAT correction factor map under continuous knock","8x8","16 Bit (LoHi)","-","-","0x1010c","0x15fd8","Grad C","U/min","3.1E-5","0.75","0.25","0.507904","0.507904","0x4000","0x4000","-","Kennfeld Maximalfuellung Tans Korrekturfaktor bei Dauerklopfen","","Kennfeld Maximalfuellung Tans Korrekturfaktor bei Dauerklopfen"
"LDRXN_1_A (AR 284BC)","0x1dcf4","Maximum specified load","16x1","16 Bit (LoHi)","-","%","0x1dcd4","-","U/min","-","0.023438","0.25","1.0","109.994534","145.807798","0x1255","0x184d","-","Maximalfuellung LDR","",""
"LDRXN_1_A (AR 284BC)","0x1dcf4","Maximum specified load (PSI)","16x1","16 Bit (LoHi)","-","%","0x1dcd4","-","U/min","-","0.004318","0.25","1.0","6.70731","13.305214","0x1255","0x184d","-","Maximalfuellung LDR","",""
"LDRXNZK (AR 284FE)","0x1dd36","Maximum specified load during continuous knock","16x1","16 Bit (LoHi)","-","%","0x1dd16","-","U/min","-","0.023438","0.25","1.0","99.002112","99.002112","0x1080","0x1080","-","Maximalfuellung LDR bei Dauerklopfen","Maximalfuellung LDR bei Dauerklopfen","Maximalfuellung LDR bei Dauerklopfen"
"KFDMDADP","0x1de1c","Upper threshold for torque intervention under dashpot","8x6","16 Bit (LoHi)","-","%","0x1df8e","0x1a603","%","-","0.001526","0.003052","1.0","1.001056","20.002808","0x290","0x3334","-","","","Obere Schwelle für Momenteneingriff bei Dashpot"
"KFDMDARO","0x1de7c","Upper threshold for torque intervention","8x6","16 Bit (LoHi)","-","%","0x1df8e","0x1a603","%","-","0.001526","0.003052","1.0","1.001056","20.002808","0x290","0x3334","-","","","Obere Schwelle für Momenteneingriff"
"NMAXDVG (AR 27F06, RS4 1ECC6, 1ECB6)","0x1e4a0","Maximum engine speed on speed signal error detection (automatic transmission)?","8x1","16 Bit (LoHi)","-","RPM","-","-","-","-","0.25","1.0","1.0","4100.0","6800.0","0x4010","0x6a40","-","Drehzahlgrenze für Automatik-Getriebe bei Fehler Geschwindigkeitssignal","","Drehzahlgrenze für Automatik-Getriebe bei Fehler Geschwindigkeitssignal"
"VAVMXNIV","0x1e4c0","Maximum vehicle speed for activation of VMAX-limit through ride height control","1x1","16 Bit (LoHi)","-","km/h","-","-","-","-","0.007813","1.0","1.0","230.01472","230.01472","0x7300","0x7300","-","Maximalgeschwindigkeit für Aktivierung der VMAX-Begrenzung durch Niveauregelung","Maximalgeschwindigkeit für Aktivierung der VMAX-Begrenzung durch Niveauregelung","Maximalgeschwindigkeit für Aktivierung der VMAX-Begrenzung durch Niveauregelung"
"VAVMXPNG","0x1e4c2","Maximum vehicle speed for activation of VMAX-limit through clutch engagement","1x1","16 Bit (LoHi)","-","km/h","-","-","-","-","0.007813","1.0","1.0","230.01472","230.01472","0x7300","0x7300","-","Maximalgeschw. für Aktivierung der VMAX-Begrenzung durch Planetennachgelege","Maximalgeschw. für Aktivierung der VMAX-Begrenzung durch Planetennachgelege","Maximalgeschw. für Aktivierung der VMAX-Begrenzung durch Planetennachgelege"
"VMAXNB","0x1e4c4","Maximum allowed vehical speed during normal function","1x1","16 Bit (LoHi)","-","km/h","-","-","-","-","0.007813","1.0","1.0","230.01472","230.01472","0x7300","0x7300","-","","Maximal zulässige Fahrzeuggeschwindigkeit im Normalbetrieb","Maximal zulässige Fahrzeuggeschwindigkeit im Normalbetrieb"
"VMAXNIV","0x1e4c6","Maximum allowed vehicle speed via limiting through ride height control","1x1","16 Bit (LoHi)","-","km/h","-","-","-","-","0.007813","1.0","1.0","230.01472","230.01472","0x7300","0x7300","-","Maximal zulässige Geschwindigkeit bei Begrenzung durch Niveauregelung","Maximal zulässige Geschwindigkeit bei Begrenzung durch Niveauregelung","Maximal zulässige Geschwindigkeit bei Begrenzung durch Niveauregelung"
"VMAXPNG","0x1e4c8","Maximum allowable speed limit during clutch engagement","1x1","16 Bit (LoHi)","-","km/h","-","-","-","-","0.007813","1.0","1.0","230.01472","230.01472","0x7300","0x7300","-","Maximal zulässige Geschwindigkeit bei Begrenzung durch Planetennachgelege","Maximal zulässige Geschwindigkeit bei Begrenzung durch Planetennachgelege","Maximal zulässige Geschwindigkeit bei Begrenzung durch Planetennachgelege"
"VMAXTM (AR27F58)","0x1e4d6","Maximum vehicle speed because of engine temperature","5x1","16 Bit (LoHi)","-","km/h","0x1e4cc","-","Grad C","-","0.007813","0.75","1.0","512.024955","512.024955","0xffff","0xffff","-","Maximalgeschwindigkeit aus Motortemperatur","","Maximalgeschwindigkeit aus Motortemperatur"
"VMAXTOL (AR 27F6E)","0x1e4ec","Maximum vehicle speed because of oil temperature","5x1","16 Bit (LoHi)","-","km/h","0x1e4e2","-","Grad C","-","0.007813","0.23438","1.0","512.024955","512.024955","0xffff","0xffff","-","Maximalgeschwindigkeit aus Öltemperatur","","Maximalgeschwindigkeit aus Öltemperatur"
"FQTEFR (AR 2A1EB)","0x1eb87","Characteristic curve for continuous limit value control (fr)","8x1","8 Bit","-","-","0x1eb7f","-","RPM","-","0.125","0.007813","1.0","0.0","1.5","0x0","0xc","-","Kennlinie stetige Grenzwertregelung (fr)","Kennlinie stetige Grenzwertregelung (fr)","Kennlinie stetige Grenzwertregelung (fr)"
"FHODTEA","0x1ec10","Lower altitude threshhold for DTEV active","1x1","16 Bit (LoHi)","-","-","-","-","-","-","6.1E-5","1.0","1.0","0.72956","0.72956","0x2eb8","0x2eb8","Unchanged?","untere Höhenschwelle für DTEV aktiv","untere Höhenschwelle für DTEV aktiv","untere Höhenschwelle für DTEV aktiv"
"KFDZWOB (AR 2B054)","0x1f22c","Delta ignition angle (overboost)","4x4","8 Bit","-","grad KW","0x1f228","0x1f224","%","Upm","0.75","0.75","40.0","0.0","3.0","0x0","0x4","-","Delta Zündwinkel Zündwinkeloverboost","Delta Zündwinkel Zündwinkeloverboost","Delta Zündwinkel Zündwinkeloverboost"
"DPBKVEVKEP (AR 2B1A0)","0x1f374","Pressure gradient factor during evacuation of the brake booster via electrical pump","1x1","16 Bit (LoHi)","-","-","-","-","-","-","2.44E-4","1.0","1.0","0.279868","0.279868","0x47b","0x47b","-","Fak. Druckgrad. während Evakuierung des Bremskraftverstärkers durch el. Pumpe","","Fak. Druckgrad. während Evakuierung des Bremskraftverstärkers durch el. Pumpe"
"DPBKVEVKEP (AR 2B1A0)","0x1f374","Pressure gradient factor during evacuation of the brake booster via electrical pump","1x1","16 Bit (LoHi)","-","-","-","-","-","-","2.44E-4","1.0","1.0","0.279868","0.279868","0x47b","0x47b","Unchanged?","Fak. Druckgrad. während Evakuierung des Bremskraftverstärkers durch el. Pumpe","","Fak. Druckgrad. während Evakuierung des Bremskraftverstärkers durch el. Pumpe"
"FBKVP (AR 2B1AA)","0x1f37e","Factor for calculating min. pump pressure dependent on ambient pressure","1x1","16 Bit (LoHi)","-","-","-","-","-","-","3.1E-5","1.0","1.0","0.20317400000000002","0.20317400000000002","0x199a","0x199a","-","Faktor zur Berechnung des min. Pumpdrucks abhängig von Umgebungsdruck","","Faktor zur Berechnung des min. Pumpdrucks abhängig von Umgebungsdruck"
"FBKVP (AR 2B1AA)","0x1f37e","Factor for calculating min. pump pressure dependent on ambient pressure","1x1","16 Bit (LoHi)","-","-","-","-","-","-","3.1E-5","1.0","1.0","0.20317400000000002","0.20317400000000002","0x199a","0x199a","unchanged?","Faktor zur Berechnung des min. Pumpdrucks abhängig von Umgebungsdruck","","Faktor zur Berechnung des min. Pumpdrucks abhängig von Umgebungsdruck"
"PUEBKV","0x1f3ac","Substitute value for ambient pressure for BKV","1x1","16 Bit (LoHi)","-","hPa","-","-","-","-","0.078126","1.0","1.0","1200.01536","1200.01536","0x3c00","0x3c00","1/2","Ersatzwert für Umgebungsdruck für BKV","","Ersatzwert für Umgebungsdruck für BKV"
"PUEBKV","0x1f3ac","Substitute value for ambient pressure for BKV","1x1","16 Bit (LoHi)","-","hPa","-","-","-","-","0.039063","1.0","1.0","600.00768","600.00768","0x3c00","0x3c00","-","Ersatzwert für Umgebungsdruck für BKV","","Ersatzwert für Umgebungsdruck für BKV"
"DPBKVPMN","0x1f438","Tolerance of pubkv_w*FBKVP (min. pump-pressure) and pressure sensor tolerance in BKV","1x1","16 Bit (LoHi)","-","hPa","-","-","-","-","0.039063","1.0","1.0","60.000768","60.000768","0x600","0x600","-","Toleranz von pubkv_w*FBKVP (min. Pump-Druck) und Toleranz Drucksensor im BKV","","Toleranz von pubkv_w*FBKVP (min. Pump-Druck) und Toleranz Drucksensor im BKV"
"-","0x3c8f0","Mono Lambda (bank2)","1x1","16 Bit (LoHi)","Change to 911A","-","-","-","-","-","1.0","1.0","1.0","37144.0","37144.0","0x9118","0x9118","-","","",""
"-","0x3c902","Mono Lambda (bank2)","1x1","16 Bit (LoHi)","Change to 911A","-","-","-","-","-","1.0","1.0","1.0","37144.0","37144.0","0x9118","0x9118","-","","",""
"-","0x3ea90","Mono Lambda (bank2)","1x1","16 Bit (LoHi)","Change to 911A","-","-","-","-","-","1.0","1.0","1.0","37144.0","37144.0","0x9118","0x9118","-","","",""
"-","0x3eb64","Mono Lambda (bank2)","1x1","16 Bit (LoHi)","Change to 1C4E","-","-","-","-","-","1.0","1.0","1.0","7247.0","7247.0","0x1c4f","0x1c4f","-","","",""
"-","0x50bf4","pvdk_w 1013 division #1","2x1","16 Bit (LoHi)","25933->12966","-","-","-","-","-","1.0","1.0","1.0","25933.0","62962.0","0x654d","0xf5f2","-","","",""
"-","0x51286","pvdk_w 1013 division #2","2x1","16 Bit (LoHi)","25933->12966","-","-","-","-","-","1.0","1.0","1.0","25933.0","62962.0","0x654d","0xf5f2","-","","",""
"-","0x5193e","pus_w 1013 division #1","1x1","16 Bit (LoHi)","647--->1294","-","-","-","-","-","1.0","1.0","1.0","647.0","647.0","0x287","0x287","-","","",""
"-","0x51978","pus_w 1013 division #2","1x1","16 Bit (LoHi)","647--->1294","-","-","-","-","-","1.0","1.0","1.0","647.0","647.0","0x287","0x287","-","","",""
"-","0x519f6","fvpdkds 1013 division #1","2x1","16 Bit (LoHi)","647->1294","-","-","-","-","-","1.0","1.0","1.0","647.0","16923.0","0x287","0x421b","-","","",""
"-","0x51af2","fvpdkds 1013 division #2","2x1","16 Bit (LoHi)","647->1294","-","-","-","-","-","1.0","1.0","1.0","647.0","16923.0","0x287","0x421b","-","","",""
"-","0x51fe0","fho_w 1013 division","2x1","16 Bit (LoHi)","647->1294","-","-","-","-","-","1.0","1.0","1.0","647.0","16923.0","0x287","0x421b","-","","",""
"-","0x52ae2","frhodkr_w 1013 division","2x1","16 Bit (LoHi)","25933->12966","-","-","-","-","-","1.0","1.0","1.0","25933.0","62966.0","0x654d","0xf5f6","-","","",""
"-","0x6edf4","SDLDSUA axis calculation","2x1","8 Bit","-","-","-","-","-","-","1.0","1.0","1.0","79.0","188.0","0x4f","0xbc","http://nefariousmotorsports.com/forum/index.php?topic=3027.msg63154#msg63154

Interesting! Since we don't actually need SDLDSUA to be full range, can't we change that to ashr 3h and a compare (to cap it)? Then you only need to cut the data in half.

Assuming that your boost target is around the MAP limit or that you were just going to replicate the last value above 2560 mbar?

Yes.

The offset is already capped at 16 members in the code with a compare.

The code is located at 0x6EDF4 in both versions of M box. Change BC 4F to BC 3F if you want to go that route.","","",""
"-","0x89b08","Mono Lambda (bank2) 0001","1x1","16 Bit (LoHi)","Change to AE28","-","-","-","-","-","1.0","1.0","1.0","62710.0","62710.0","0xf4f6","0xf4f6","-","","",""
"-","0x89b12","Mono Lambda (bank2) 0002","1x1","16 Bit (LoHi)","Change to AE28","-","-","-","-","-","1.0","1.0","1.0","44582.0","44582.0","0xae26","0xae26","-","","",""
"JumpToALNLS","0x8b3a6","Jump to AL/NLS (0xE80088DA)","1x1","32 Bit (LoHiLoHi)","-","-","-","-","-","-","1.0","1.0","1.0","2.331244787E9","2.331244787E9","0x0","0x0","-","","",""
"ALNLS","0x8e800","AL/NLS code patch","71x1","16 Bit (LoHi)","-","-","-","-","-","-","1.0","1.0","1.0","65535.0","65535.0","0xffff","0xffff","-","","",""
